key,date,time_rd,lottery,draw,result,best_signal,best_a11,ok_alert,decision,hits_quiniela_topq,hits_quiniela_top12,pale_hits,source_rows_hist_used
2026-04-29|Anguilla|Anguila 6PM|2026-04-29 18:00,2026-04-29,2026-04-29 18:00,Anguilla,Anguila 6PM,44-06-11,0.00651898116934958,11,False,❌ NO JUGAR,0,0,0,2167.0
2026-04-29|La Suerte|Quiniela La Suerte 6PM|2026-04-29 18:00,2026-04-29,2026-04-29 18:00,La Suerte,Quiniela La Suerte 6PM,72-65-33,0.0013239466789953568,8,False,❌ NO JUGAR,0,0,0,2167.0
2026-04-29|La Primera|Quiniela La Primera Noche|2026-04-29 19:00,2026-04-29,2026-04-29 19:00,La Primera,Quiniela La Primera Noche,68-22-72,0.031225727684349208,4,True,❌ NO JUGAR,0,1,0,2400.0
2026-04-29|Anguilla|Anguila 9PM|2026-04-29 21:00,2026-04-29,2026-04-29 21:00,Anguilla,Anguila 9PM,09-42-55,0.030797474541093738,3,False,❌ NO JUGAR,0,1,0,2400.0
2026-04-29|La Nacional|Loteria Nacional- Noche|2026-04-29 21:00,2026-04-29,2026-04-29 21:00,La Nacional,Loteria Nacional- Noche,09-64-96,0.01758675480017615,4,False,❌ NO JUGAR,0,1,0,2400.0
2026-04-30|La Primera|Quiniela La Primera|2026-04-30 12:00,2026-04-30,2026-04-30 12:00,La Primera,Quiniela La Primera,65-83-18,0.01971384230081968,2,False,❌ NO JUGAR,0,0,0,534.0
2026-04-30|Anguilla|Anguila 1PM|2026-04-30 13:00,2026-04-30,2026-04-30 13:00,Anguilla,Anguila 1PM,81-78-00,0.014571854799383593,3,False,❌ NO JUGAR,0,0,0,1614.0
2026-04-30|La Nacional|Loteria Nacional- Gana Más|2026-04-30 14:30,2026-04-30,2026-04-30 14:30,La Nacional,Loteria Nacional- Gana Más,02-79-06,0.0020758724402653852,7,False,❌ NO JUGAR,0,0,0,1555.0
2026-04-30|Anguilla|Anguila 6PM|2026-04-30 18:00,2026-04-30,2026-04-30 18:00,Anguilla,Anguila 6PM,37-00-02,0.01585949829654784,3,False,❌ NO JUGAR,0,0,0,2400.0
2026-04-30|La Suerte|Quiniela La Suerte 6PM|2026-04-30 18:00,2026-04-30,2026-04-30 18:00,La Suerte,Quiniela La Suerte 6PM,04-40-25,0.01552804091129818,3,False,❌ NO JUGAR,0,1,0,2400.0
2026-04-30|La Primera|Quiniela La Primera Noche|2026-04-30 19:00,2026-04-30,2026-04-30 19:00,La Primera,Quiniela La Primera Noche,11-54-87,,,False,❌ NO JUGAR,0,0,0,0.0
2026-04-30|Anguilla|Anguila 9PM|2026-04-30 21:00,2026-04-30,2026-04-30 21:00,Anguilla,Anguila 9PM,93-52-62,0.030797474541093738,3,False,❌ NO JUGAR,0,0,0,2400.0
2026-04-30|La Nacional|Loteria Nacional- Noche|2026-04-30 21:00,2026-04-30,2026-04-30 21:00,La Nacional,Loteria Nacional- Noche,30-96-21,0.01561235649620732,4,False,❌ NO JUGAR,1,1,0,2400.0
2026-05-01|La Primera|Quiniela La Primera|2026-05-01 12:00,2026-05-01,2026-05-01 12:00,La Primera,Quiniela La Primera,00-81-47,0.01971384230081968,2,False,❌ NO JUGAR,0,1,0,534.0
